,train_cohort,test_cohort,ROC,PRC,F1,ACC,MCC,mode,best_C,transfer,test_cohort_RGC,positive_transfer,negative_transfer
3585,Zhao,Allen,0.363905325443787,0.2536749641225665,0.3428571428571428,0.4102564102564102,-0.1462544848254261,CD8,0.1,Zhao$\mapsto$Allen,0.5555555555555556,False,True
3586,Zhao,Choueiri,0.2564102564102564,0.1258352758352758,0.0,0.25,-0.5447047794019222,CD8,0.1,Zhao$\mapsto$Choueiri,0.6953125,False,True
3587,Zhao,Gide,0.1795454545454545,0.380683315602902,0.3,0.2328767123287671,-0.5484848484848485,CD8,0.1,Zhao$\mapsto$Gide,0.5045974854569337,False,True
3588,Zhao,Hugo,0.5059523809523809,0.5756952046899741,0.4615384615384615,0.4615384615384615,-0.0714285714285714,CD8,0.1,Zhao$\mapsto$Hugo,0.5029585798816568,False,True
3589,Zhao,IMVigor210,0.4123401534526854,0.1870788799716774,0.2443438914027149,0.4395973154362416,-0.1265889244294139,CD8,0.1,Zhao$\mapsto$IMVigor210,0.6477636142516103,False,True
3590,Zhao,IMmotion150,0.3037749287749288,0.2038166539291534,0.2255639097744361,0.3757575757575757,-0.2597209787491439,CD8,0.1,Zhao$\mapsto$IMmotion150,0.5874380165289257,False,True
3591,Zhao,Kim,0.2272727272727272,0.1704546406850459,0.1176470588235294,0.3333333333333333,-0.3887106116810924,CD8,0.1,Zhao$\mapsto$Kim,0.6088888888888889,False,True
3592,Zhao,Liu,0.4781966001478197,0.3944645543885793,0.46,0.4953271028037383,0.0151718580160312,CD8,0.1,Zhao$\mapsto$Liu,0.5272949602585378,False,True
3593,Zhao,Freeman,0.4981060606060605,0.4831907590491349,0.3636363636363636,0.3823529411764705,-0.1787960625070697,CD8,0.1,Zhao$\mapsto$Freeman,0.5432525951557093,False,True
3594,Zhao,Miao,0.5,0.266494338994339,0.4,0.4705882352941176,0.0154303349962091,CD8,0.1,Zhao$\mapsto$Miao,0.5847750865051904,False,True
3595,Zhao,Riaz,0.3536585365853658,0.1551248970326252,0.1764705882352941,0.4509803921568627,-0.168787321477648,CD8,0.1,Zhao$\mapsto$Riaz,0.6847366397539408,False,True
3596,Zhao,Rose,0.410958904109589,0.155534798293715,0.1791044776119402,0.3820224719101123,-0.1874350474884981,CD8,0.1,Zhao$\mapsto$Rose,0.7050877414467871,False,True
