,loo_sample,feature,exvar
7365,163,PLFcell,0.005701656632997376
7366,163,Pancreatic,0.03567628524932742
7367,163,Platelet,0.02394384457635168
7368,163,Pneumocyte,0.03426571509066445
7369,163,Stem,0.018706575991541907
7370,163,Stroma,0.0003566748652551466
7371,163,TGFb_pathway,0.06521629803431805
7372,163,TLS,0.008449465681205748
7373,163,TMB,0.10227280380322779
7374,163,Tcell_exclusion,0.041595798897366865
7375,163,Tcell_general,7.75304729330184e-05
7376,163,Treg,0.0018335229288725108
7377,163,cDC,0.0030399039245582182
7378,163,pDC,0.0020679058804717876
7379,163,Reference,0.04003352039138153
7380,164,Adipocyte,0.0010703234214199941
7381,164,Apoptosis_pathway,0.03519351686863559
7382,164,Bcell,0.0025824265309217775
7383,164,CD4_Tcell,0.0004997517810308993
7384,164,CD8_Tcell,0.16260581997503953
7385,164,CPI_Response,0.06816945312604628
7386,164,CPI_effect,0.008699130543387001
7387,164,Cytokine_chemokine,0.010526246399056194
7388,164,Cytotoxic_Tcell,0.012102010471184754
7389,164,Endothelial,0.02568632790839387
7390,164,Epithelial,0.02308770730756271
7391,164,Erythrocyte,0.010750348441554536
7392,164,Exhausted_Tcell,0.04580826031321428
7393,164,Fibroblast,0.008815109200081772
7394,164,Granulocyte,0.02414113967199094
7395,164,Hepatocyte,0.015916564010323042
7396,164,IFNg_pathway,0.14085749817067528
7397,164,Immune_checkpoint,0.019782742153046873
7398,164,Immune_score,0.04562335501708625
7399,164,Innate_lymphoid_cell,0.00045961271192751507
7400,164,Macrophage,0.0252235997368081
7401,164,Mast,0.001812444996077689
7402,164,Memory_Tcell,0.01660368546699298
7403,164,Mesothelial,0.036949995699934846
7404,164,Monocyte,0.0022111342698154512
7405,164,Myeloid,0.06856108476547518
7406,164,NKcell,0.03145853010285593
7407,164,Naive_Tcell,0.013362180989729855
7408,164,Neutrophil,0.0031514955163817193
7409,164,OS_effect,0.0003635102317983696
7410,164,PLFcell,0.007688119664591597
7411,164,Pancreatic,0.03464385442950568
7412,164,Platelet,0.024745101756504795
7413,164,Pneumocyte,0.032019309547524966
7414,164,Stem,0.018654444445349583
7415,164,Stroma,0.00045550273101768735
